year,gdp_growth,fdi,inflation,pop_growth,internet_users,gdp_growth_lag1,inflation_lag1,fdi_lag1
1991,0.358352601622002,1.19672645365892,13.0069731037427,2.64110316371064,0.0014716666666666,11.7768859342067,7.36440030557697,1.08795098954185
1992,4.63119294610988,1.7223830155852,44.588842715023,2.62528760714312,0.0029433333333333,0.358352601622002,13.0069731037427,1.19672645365892
1993,-2.03511877399539,2.37190347099572,57.1652528349217,2.65014775362862,0.004415,4.63119294610988,44.588842715023,1.7223830155852
1994,-1.81492448517923,2.43685234729338,57.031708911966,2.64135723468862,0.0058866666666666,-2.03511877399539,57.1652528349217,2.37190347099572
1995,-0.0726647640626794,0.238321527429399,72.8355022972636,2.63662927453146,0.0073583333333333,-1.81492448517923,57.031708911966,2.43685234729338
1996,4.19592404666709,0.26881827016538,29.2682926829272,2.61429682326517,0.00883,-0.0726647640626794,72.8355022972636,0.238321527429399
1997,2.93709941923106,0.233794418819082,8.52987421383633,2.60308705392213,0.0172,4.19592404666709,29.2682926829272,0.26881827016538
1998,2.58125410190809,0.137154046877584,9.99637812386806,2.61337639810203,0.0252,2.93709941923106,8.52987421383633,0.233794418819082
1999,0.584126892882125,1.69906893526275,6.61837339479756,2.63592921799734,0.041,2.58125410190809,9.99637812386806,0.137154046877584
2000,5.01593475936546,1.64832098964767,6.9332921556516,2.67439784501828,0.0640808079494101,0.584126892882125,6.61837339479756,1.69906893526275
2001,5.91768464924425,1.61861555824339,18.8736462093863,2.7163954653619,0.089901370457273,5.01593475936546,6.9332921556516,1.64832098964767
2002,15.3291557409618,1.97158413526786,12.8765792031099,2.74147056608815,0.320461975542327,5.91768464924425,18.8736462093863,1.61861555824339
2003,7.34719496793299,1.91462056992191,14.0317836131437,2.75673506428828,0.558576244860521,15.3291557409618,12.8765792031099,1.97158413526786
2004,9.25055822923169,1.38037387490881,14.9980338183251,2.77053967849452,1.28613764134527,7.34719496793299,14.0317836131437,1.91462056992191
2005,6.43851652535925,2.83629405374322,17.8634933661605,2.76883385211034,3.54915571796492,9.25055822923169,14.9980338183251,1.38037387490881
2006,6.05942803202491,2.03575267319875,8.22743678120907,2.76124698861505,5.54503608300536,6.43851652535925,17.8634933661605,2.83629405374322
2007,6.59113036066867,2.16919536982392,5.38610421570143,2.77180099910734,6.769999981,6.05942803202491,8.22743678120907,2.03575267319875
2008,6.76447277784263,2.41373918254011,11.583054796681,2.78453384410814,8.0,6.59113036066867,5.38610421570143,2.16919536982392
2009,8.03692510100366,2.90024873175983,12.5379242951095,2.78730820935027,9.300000191,6.76447277784263,11.583054796681,2.41373918254011
2010,8.00565591623166,1.64207369186652,13.7400521363694,2.795149361277,11.5,8.03692510100366,12.5379242951095,2.90024873175983
2011,5.30792420293915,2.133117701613,10.8261371880018,2.80278519998649,13.80000019,8.00565591623166,13.7400521363694,1.64207369186652
2012,4.23006117492493,1.52378233769127,12.2242413020582,2.77422930277333,16.10000038,5.30792420293915,10.8261371880018,2.133117701613
2013,6.67133539308232,1.06953936497778,8.49551838265678,2.71468991073627,19.10000038,4.23006117492493,12.2242413020582,1.52378233769127
2014,6.30971865521856,0.817478467870197,8.04741087967907,2.64221399374699,21.0,6.67133539308232,8.49551838265678,1.06953936497778
2015,2.65269329541779,0.621501637000126,9.00943498007706,2.53617348598208,22.51420021,6.30971865521856,8.04741087967907,0.817478467870197
2016,-1.61686894903467,0.853395742751916,15.6968126387972,2.47183239057048,24.13750076,2.65269329541779,9.00943498007706,0.621501637000126
2017,0.805886619091581,0.642182922336257,16.5022662139641,2.43170936923065,25.87789917,-1.61686894903467,15.6968126387972,0.853395742751916
2018,1.92275734199798,0.183821495682229,12.0951065173432,2.31217263003389,27.74370003,0.805886619091581,16.5022662139641,0.642182922336257
2019,2.20842927835211,0.344961215906745,11.3964223378115,2.1944019229433,29.74410057,1.92275734199798,12.0951065173432,0.183821495682229
2020,-6.36889840468527,0.398484830423335,13.2460234276598,2.13029714344341,31.88879967,2.20842927835211,11.3964223378115,0.344961215906745
2021,1.109252540249,0.543909122159359,16.9528457221608,2.09618685225463,35.50979996,-6.36889840468527,13.2460234276598,0.398484830423335
2022,4.31882949157136,-0.0288727652155146,18.8471877843274,2.09281687128387,39.14720154,1.109252540249,16.9528457221608,0.543909122159359
2023,3.31590368111438,0.384195197916836,24.659550203114,2.09838916935738,40.06399918,4.31882949157136,18.8471877843274,-0.0288727652155146
2024,4.07106650147703,0.639824358730627,33.2416590552749,2.08297776184189,41.21139908,3.31590368111438,24.659550203114,0.384195197916836
2025,4.01336180700973,1.37738584935978,23.0101235833333,2.06227178599451,41.21139908,4.07106650147703,33.2416590552749,0.639824358730627
